cluster_1,cluster_2,distance,sample_count
25.0,76.0,0.0,2.0
43.0,50.0,0.0,2.0
88.0,101.0,0.0,3.0
55.0,86.0,0.3333333333333333,2.0
90.0,99.0,0.3333333333333333,2.0
53.0,69.0,0.3333333333333333,2.0
67.0,74.0,0.3333333333333333,2.0
27.0,84.0,0.3333333333333333,2.0
7.0,11.0,0.33333333333333337,2.0
2.0,9.0,0.33333333333333337,2.0
52.0,73.0,0.33333333333333337,2.0
12.0,102.0,0.408248290463863,4.0
80.0,105.0,0.4303314829119352,3.0
10.0,64.0,0.4714045207910317,2.0
14.0,98.0,0.4714045207910317,2.0
31.0,66.0,0.4714045207910317,2.0
8.0,30.0,0.4714045207910317,2.0
22.0,57.0,0.4714045207910317,2.0
16.0,95.0,0.4714045207910317,2.0
41.0,65.0,0.4714045207910317,2.0
54.0,87.0,0.4714045207910317,2.0
39.0,62.0,0.4714045207910317,2.0
96.0,97.0,0.4714045207910317,2.0
28.0,81.0,0.4714045207910317,2.0
33.0,70.0,0.4714045207910317,2.0
35.0,100.0,0.5443310539518174,3.0
92.0,112.0,0.5610836076867821,4.0
0.0,45.0,0.5773502691896257,2.0
21.0,83.0,0.5773502691896257,2.0
36.0,82.0,0.5773502691896257,2.0
1.0,108.0,0.5773502691896258,3.0
47.0,59.0,0.5773502691896258,2.0
60.0,89.0,0.5773502691896258,2.0
20.0,48.0,0.5773502691896258,2.0
19.0,29.0,0.5773502691896258,2.0
68.0,77.0,0.5773502691896258,2.0
91.0,111.0,0.6055300708194985,5.0
13.0,115.0,0.6085806194501845,3.0
93.0,119.0,0.6085806194501846,3.0
78.0,123.0,0.6085806194501846,3.0
110.0,136.0,0.6594851286576786,7.0
4.0,32.0,0.6666666666666667,2.0
85.0,94.0,0.6666666666666667,2.0
38.0,63.0,0.6666666666666667,2.0
5.0,114.0,0.7200822998230956,3.0
51.0,124.0,0.7200822998230956,3.0
40.0,144.0,0.7328281087929399,4.0
15.0,61.0,0.7453559924999299,2.0
37.0,128.0,0.7453559924999299,3.0
79.0,137.0,0.7576767609436587,4.0
109.0,130.0,0.7745966692414835,5.0
24.0,107.0,0.7934920476158722,3.0
42.0,104.0,0.7934920476158722,3.0
75.0,106.0,0.7934920476158723,3.0
34.0,140.0,0.8357108940373449,8.0
118.0,132.0,0.8498365855987975,4.0
127.0,138.0,0.8734775114237133,5.0
56.0,147.0,0.8819171036881968,3.0
125.0,150.0,0.8933913745655643,8.0
3.0,113.0,0.90267093384844,3.0
116.0,151.0,0.90267093384844,5.0
117.0,134.0,0.9128709291752768,4.0
121.0,129.0,0.912870929175277,4.0
58.0,146.0,0.924962461700774,5.0
126.0,153.0,0.9663655798208222,7.0
23.0,148.0,0.9718253158075502,4.0
18.0,131.0,1.0,3.0
46.0,142.0,1.0183501544346312,3.0
6.0,157.0,1.0274023338281628,4.0
71.0,149.0,1.0274023338281628,5.0
103.0,158.0,1.030102476024163,10.0
120.0,145.0,1.039943018382008,5.0
26.0,152.0,1.04527154012371,4.0
72.0,141.0,1.0886621079036347,3.0
139.0,162.0,1.0923011000276863,7.0
44.0,135.0,1.1385500851066221,3.0
17.0,160.0,1.1547005383792517,6.0
143.0,156.0,1.1656458118700372,7.0
133.0,167.0,1.1769389046102545,5.0
154.0,170.0,1.2212117034696965,18.0
122.0,155.0,1.224744871391589,6.0
49.0,163.0,1.253144193766372,6.0
161.0,175.0,1.271378038351346,7.0
165.0,173.0,1.271378038351346,7.0
159.0,168.0,1.5335748602046957,7.0
166.0,178.0,1.5968719422671314,8.0
176.0,180.0,1.7373884190124318,12.0
164.0,179.0,1.7640341772435266,25.0
169.0,183.0,1.7884106626870402,12.0
171.0,174.0,1.8367212563546418,12.0
185.0,186.0,1.8524258369720183,20.0
177.0,190.0,2.0223326907439674,27.0
181.0,188.0,2.056306169257972,18.0
182.0,192.0,2.156046417682797,25.0
172.0,193.0,2.175921877119137,29.0
189.0,191.0,2.572900386255592,39.0
184.0,194.0,2.628275693392304,36.0
187.0,195.0,4.608280976812674,64.0
196.0,197.0,9.29840355340503,100.0
