respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
3,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
4,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
5,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0
8,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
10,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
11,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
12,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0
14,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
15,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
16,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
17,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
18,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666
19,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666
20,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
21,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
24,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
25,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
26,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333
28,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
