respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,cluster
1,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,3
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,2
3,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2
4,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1
5,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1
6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1
7,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1
8,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2
9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,3
10,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,2
11,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1
12,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2
13,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,2
14,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1
15,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1
16,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1
17,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
18,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,3
19,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,3
